zip,income,year
60960,30530.0,2018
60961,39602.0,2018
60962,25188.0,2018
60963,26096.0,2018
60964,26928.0,2018
60966,22386.0,2018
60968,24716.0,2018
60969,36250.0,2018
60970,20849.0,2018
60973,25000.0,2018
60974,28167.0,2018
61001,30345.0,2018
61006,29936.0,2018
61007,30905.0,2018
61008,27258.0,2018
61010,32617.0,2018
61011,41544.0,2018
61012,30492.0,2018
61013,28426.0,2018
61014,29464.0,2018
61015,26949.0,2018
61016,36723.0,2018
61018,24704.0,2018
61019,32559.0,2018
61020,29768.0,2018
61021,29537.0,2018
61024,31109.0,2018
61025,31559.0,2018
61027,27617.0,2018
61028,28514.0,2018
61030,30345.0,2018
61031,27734.0,2018
61032,24406.0,2018
61036,31024.0,2018
61037,32361.0,2018
61038,27037.0,2018
61039,30341.0,2018
61041,28636.0,2018
61042,32500.0,2018
61043,31667.0,2018
61044,31875.0,2018
61046,29535.0,2018
61047,30594.0,2018
61048,28950.0,2018
61049,28393.0,2018
61050,25917.0,2018
61051,30771.0,2018
61052,26518.0,2018
61053,27247.0,2018
61054,27225.0,2018
61057,63224.0,2018
61059,28438.0,2018
61060,31807.0,2018
61061,32188.0,2018
61062,37135.0,2018
61063,31972.0,2018
61064,30342.0,2018
61065,32531.0,2018
61067,30370.0,2018
61068,28771.0,2018
61070,29352.0,2018
61071,25439.0,2018
61072,35847.0,2018
61073,40280.0,2018
61074,24420.0,2018
61075,31302.0,2018
61077,,2018
61078,26060.0,2018
61079,27727.0,2018
61080,30643.0,2018
61081,27251.0,2018
61084,30688.0,2018
61085,24738.0,2018
61087,28472.0,2018
61088,41902.0,2018
61089,32281.0,2018
61091,,2018
61101,19919.0,2018
61102,20983.0,2018
61103,23171.0,2018
61104,18198.0,2018
61107,32331.0,2018
61108,26661.0,2018
61109,26305.0,2018
61111,28145.0,2018
61112,21395.0,2018
61114,33393.0,2018
61115,28151.0,2018
61201,25557.0,2018
61230,30825.0,2018
61231,27926.0,2018
61232,35833.0,2018
61234,30773.0,2018
61235,30691.0,2018
61236,31058.0,2018
61238,30678.0,2018
61239,25292.0,2018
61240,35023.0,2018
61241,32150.0,2018
61242,31771.0,2018
61243,40500.0,2018
61244,26536.0,2018
61250,29301.0,2018
61251,32132.0,2018
61252,33131.0,2018
61254,33329.0,2018
61256,39063.0,2018
61257,24444.0,2018
61258,23125.0,2018
61259,40443.0,2018
61260,23879.0,2018
61261,24597.0,2018
61262,31509.0,2018
61263,30952.0,2018
61264,32162.0,2018
61265,30382.0,2018
61270,31006.0,2018
61272,27969.0,2018
61273,38858.0,2018
61274,32241.0,2018
61275,36301.0,2018
61276,27292.0,2018
61277,27192.0,2018
61278,34844.0,2018
61279,38405.0,2018
61281,37255.0,2018
